右・左,index,物理的な1D座標値,表・裏,上部アンダーグローか,3x5領域か
左,0,5,表,0,1
左,1,5,表,0,1
左,2,5,表,0,1
左,3,4,表,0,1
左,4,4,表,0,1
左,5,4,表,0,1
左,6,3,表,0,1
左,7,3,表,0,1
左,8,3,表,0,1
左,9,3,表,0,0
左,10,2,表,0,1
左,11,2,表,0,1
左,12,2,表,0,1
左,13,2,表,0,0
左,14,1,表,0,1
左,15,1,表,0,1
左,16,1,表,0,1
左,17,0,表,0,1
左,18,0,表,0,1
左,19,0,表,0,1
左,20,4.5,裏,1,0
左,21,2.5,裏,1,0
左,22,0.5,裏,1,0
左,23,0,裏,0,0
左,24,0,裏,0,0
左,25,2,裏,0,0
左,26,3,裏,0,0
左,27,4.2,裏,0,0
左,28,5.3,裏,0,0
左,29,6.1,裏,0,0
右,30,7.9,裏,0,0
右,31,8.5,裏,0,0
右,32,10,裏,0,0
右,33,11,裏,0,0
右,34,12.5,裏,0,0
右,35,14,裏,0,0
右,36,14,裏,0,0
右,37,13.5,裏,1,0
右,38,11.5,裏,1,0
右,39,10.5,裏,1,0
右,40,14,表,0,0
右,41,14,表,0,0
右,42,14,表,0,0
右,43,13,表,0,1
右,44,13,表,0,1
右,45,13,表,0,1
右,46,13,表,0,0
右,47,12,表,0,1
右,48,12,表,0,1
右,49,12,表,0,1
右,50,11,表,0,1
右,51,11,表,0,1
右,52,11,表,0,1
右,53,10,表,0,1
右,54,10,表,0,1
右,55,10,表,0,1
右,56,9,表,0,1
右,57,9,表,0,1
右,58,9,表,0,1
